"","Depth_category","Temp","DO","MC","Chla","PC"
"223","Surface",11.09443478,10.09858696,0.2,20.74,25.47
"224","Bottom",9.84962069,10.35132759,0.22,3.47,0.68
"225","Surface",10.70257391,9.512634783,0.21,4.3,0.79
"226","Surface",10.52542,10.169432,0.18,8.78,7.06
"227","Surface",10.43565,9.678384615,0.22,12.07,4.76
"228","Bottom",10.33928929,10.58388571,0.18,6.89,4.31
"229","Surface",11.27640769,9.767684615,0.25,5.92,0.74
"230","Surface",10.57928571,9.981789286,0.21,26.59,34.73
"231","Bottom",9.753013793,10.42382759,0.16,14.01,14.65
"232","Surface",10.82699412,10.00237647,0.13,2.09,0.08
"233","Bottom",10.61673235,9.825311765,0.12,1.43,0.19
"234","Surface",10.678764,10.111928,0.14,4.23,0.46
